Year,Sex,Cohort,State,Drivers
2017,Male,Under 16,Alabama,0
2017,Male,Under 16,Alaska,0
2017,Male,Under 16,Arizona,0
2017,Male,Under 16,Arkansas,0
2017,Male,Under 16,California,0
2017,Male,Under 16,Colorado,0
2017,Male,Under 16,Connecticut,0
2017,Male,Under 16,Delaware,0
2017,Male,Under 16,District of Columbia,0
2017,Male,Under 16,Florida,0
2017,Male,Under 16,Georgia,0
2017,Male,Under 16,Hawaii,0
2017,Male,Under 16,Idaho,8286
2017,Male,Under 16,Illinois,0
2017,Male,Under 16,Indiana,0
2017,Male,Under 16,Iowa,0
2017,Male,Under 16,Kansas,14251
2017,Male,Under 16,Kentucky,0
2017,Male,Under 16,Louisiana,0
2017,Male,Under 16,Maine,0
2017,Male,Under 16,Maryland,0
2017,Male,Under 16,Massachusetts,0
2017,Male,Under 16,Michigan,0
2017,Male,Under 16,Minnesota,0
2017,Male,Under 16,Mississippi,0
2017,Male,Under 16,Missouri,0
2017,Male,Under 16,Montana,1207
2017,Male,Under 16,Nebraska,0
2017,Male,Under 16,Nevada,0
2017,Male,Under 16,New Hampshire,0
2017,Male,Under 16,New Jersey,0
2017,Male,Under 16,New Mexico,0
2017,Male,Under 16,New York,0
2017,Male,Under 16,North Carolina,0
2017,Male,Under 16,North Dakota,1298
2017,Male,Under 16,Ohio,0
2017,Male,Under 16,Oklahoma,0
2017,Male,Under 16,Oregon,0
2017,Male,Under 16,Pennsylvania,0
2017,Male,Under 16,Rhode Island,0
2017,Male,Under 16,South Carolina,12986
2017,Male,Under 16,South Dakota,0
2017,Male,Under 16,Tennessee,0
2017,Male,Under 16,Texas,0
2017,Male,Under 16,Utah,0
2017,Male,Under 16,Vermont,0
2017,Male,Under 16,Virginia,0
2017,Male,Under 16,Washington,0
2017,Male,Under 16,West Virginia,0
2017,Male,Under 16,Wisconsin,0
2017,Male,Under 16,Wyoming,0
2017,Male,16,Alabama,23637
2017,Male,16,Alaska,1352
2017,Male,16,Arizona,10913
2017,Male,16,Arkansas,7631
2017,Male,16,California,34362
2017,Male,16,Colorado,9029
2017,Male,16,Connecticut,3547
2017,Male,16,Delaware,3608
2017,Male,16,District of Columbia,0
2017,Male,16,Florida,25336
2017,Male,16,Georgia,17958
2017,Male,16,Hawaii,1026
