state,month,year,tax type,value,fips state,numeric month,note,id
Florida,July,2019,motor fuel,241299325,12,7,,12_2019_7
Maine,February,2020,motor fuel,17363969,23,2,,23_2020_2
Rhode Island,June,2019,motor fuel,,44,6,,44_2019_6
Alabama,May,2024,motor fuel,85680827,1,5,,1_2024_5
Alaska,May,2024,motor fuel,,2,5,,2_2024_5
Arizona,May,2024,motor fuel,65905029,4,5,,4_2024_5
Arkansas,May,2024,motor fuel,49197761,5,5,,5_2024_5
California,May,2024,motor fuel,819564000,6,5,,6_2024_5
Colorado,May,2024,motor fuel,57249000,8,5,,8_2024_5
Connecticut,May,2024,motor fuel,40414226,9,5,,9_2024_5
Delaware,May,2024,motor fuel,,10,5,,10_2024_5
District of Columbia,May,2024,motor fuel,,11,5,,11_2024_5
Florida,May,2024,motor fuel,,12,5,,12_2024_5
Georgia,May,2024,motor fuel,192626000,13,5,,13_2024_5
Hawaii,May,2024,motor fuel,8744524,15,5,,15_2024_5
Idaho,May,2024,motor fuel,36832355,16,5,,16_2024_5
Illinois,May,2024,motor fuel,245431872,17,5,,17_2024_5
Indiana,May,2024,motor fuel,139594313,18,5,,18_2024_5
Iowa,May,2024,motor fuel,58877946,19,5,,19_2024_5
Kansas,May,2024,motor fuel,,20,5,,20_2024_5
Kentucky,May,2024,motor fuel,75035159,21,5,,21_2024_5
Louisiana,May,2024,motor fuel,51160910,22,5,,22_2024_5
Maine,May,2024,motor fuel,16861166,23,5,,23_2024_5
Maryland,May,2024,motor fuel,,24,5,,24_2024_5
Massachusetts,May,2024,motor fuel,57871557,25,5,,25_2024_5
Michigan,May,2024,motor fuel,127909007,26,5,,26_2024_5
Minnesota,May,2024,motor fuel,71536199,27,5,,27_2024_5
Mississippi,May,2024,motor fuel,36500423,28,5,,28_2024_5
Missouri,May,2024,motor fuel,84299306,29,5,,29_2024_5
Montana,May,2024,motor fuel,,30,5,,30_2024_5
Nebraska,May,2024,motor fuel,,31,5,,31_2024_5
Nevada,May,2024,motor fuel,,32,5,,32_2024_5
New Hampshire,May,2024,motor fuel,10000000,33,5,,33_2024_5
New Jersey,May,2024,motor fuel,34951000,34,5,,34_2024_5
New Mexico,May,2024,motor fuel,,35,5,,35_2024_5
New York,May,2024,motor fuel,127281698,36,5,,36_2024_5
North Carolina,May,2024,motor fuel,154714225,37,5,,37_2024_5
North Dakota,May,2024,motor fuel,,38,5,,38_2024_5
Ohio,May,2024,motor fuel,,39,5,,39_2024_5
Oklahoma,May,2024,motor fuel,,40,5,,40_2024_5
Oregon,May,2024,motor fuel,61217128,41,5,,41_2024_5
Pennsylvania,May,2024,motor fuel,185151000,42,5,,42_2024_5
Rhode Island,May,2024,motor fuel,,44,5,,44_2024_5
South Carolina,May,2024,motor fuel,89400000,45,5,,45_2024_5
South Dakota,May,2024,motor fuel,,46,5,,46_2024_5
Tennessee,May,2024,motor fuel,106732983,47,5,,47_2024_5
Texas,May,2024,motor fuel,324974000,48,5,,48_2024_5
Utah,May,2024,motor fuel,56900000,49,5,,49_2024_5
Vermont,May,2024,motor fuel,6792165,50,5,,50_2024_5
Virginia,May,2024,motor fuel,136469000,51,5,,51_2024_5
Washington,May,2024,motor fuel,124150816,53,5,,53_2024_5
West Virginia,May,2024,motor fuel,37831000,54,5,,54_2024_5
Wisconsin,May,2024,motor fuel,80719231,55,5,,55_2024_5
Wyoming,May,2024,motor fuel,,56,5,,56_2024_5
Alabama,April,2019,motor fuel,52036706,1,4,,1_2019_4
Alabama,April,2020,motor fuel,65662369,1,4,,1_2020_4
Alabama,April,2021,motor fuel,76906209,1,4,,1_2021_4
Alabama,April,2022,motor fuel,83768890,1,4,,1_2022_4
Alabama,August,2019,motor fuel,52798054,1,8,,1_2019_8
Alabama,August,2020,motor fuel,68727297,1,8,,1_2020_8
Alabama,August,2021,motor fuel,77552706,1,8,,1_2021_8
Alabama,December,2019,motor fuel,66672054,1,12,,1_2019_12
Alabama,December,2020,motor fuel,69345746,1,12,,1_2020_12
Alabama,December,2021,motor fuel,79305645,1,12,,1_2021_12
Alabama,February,2020,motor fuel,64761385,1,2,,1_2020_2
Alabama,February,2021,motor fuel,67832592,1,2,,1_2021_2
Alabama,February,2022,motor fuel,73338408,1,2,,1_2022_2
Alabama,January,2020,motor fuel,65383746,1,1,,1_2020_1
Alabama,January,2021,motor fuel,71431282,1,1,,1_2021_1
Alabama,January,2022,motor fuel,79709108,1,1,,1_2022_1
Alabama,July,2019,motor fuel,50579293,1,7,,1_2019_7
Alabama,July,2020,motor fuel,65992175,1,7,,1_2020_7
Alabama,July,2021,motor fuel,76892341,1,7,,1_2021_7
Alabama,June,2019,motor fuel,53790643,1,6,,1_2019_6
Alabama,June,2020,motor fuel,61272299,1,6,,1_2020_6
Alabama,June,2021,motor fuel,78332379,1,6,,1_2021_6
Alabama,March,2020,motor fuel,62069126,1,3,,1_2020_3
Alabama,March,2021,motor fuel,62969975,1,3,,1_2021_3
Alabama,March,2022,motor fuel,73626199,1,3,,1_2022_3
